statenum,casenum,acchr,latitude,longitude,numfatal,age
25,187,18,41.67126944,-71.10166944,1,73
25,188,18,42.03899167,-71.23795833,1,18
25,188,18,42.03899167,-71.23795833,1,37
25,188,18,42.03899167,-71.23795833,1,59
25,189,18,42.31864722,-72.63576667,1,39
25,190,9,41.8181,-70.96974722,1,26
25,190,9,41.8181,-70.96974722,1,51
25,190,9,41.8181,-70.96974722,1,70
25,190,9,41.8181,-70.96974722,1,75
25,191,11,42.17226944,-72.53767778,1,43
25,191,11,42.17226944,-72.53767778,1,52
25,191,11,42.17226944,-72.53767778,1,72
25,192,14,42.04383333,-71.30369722,1,43
25,192,14,42.04383333,-71.30369722,1,67
25,192,14,42.04383333,-71.30369722,1,73
25,193,14,42.12300556,-72.94264444,1,27
25,195,6,42.32541111,-71.94701389,1,28
25,195,6,42.32541111,-71.94701389,1,58
25,196,20,42.02363056,-71.00967222,1,55
25,197,17,41.74411389,-70.49535833,1,26
25,197,17,41.74411389,-70.49535833,1,27
25,197,17,41.74411389,-70.49535833,1,62
25,198,9,41.65724167,-70.95323611,1,72
25,198,9,41.65724167,-70.95323611,1,76
25,198,9,41.65724167,-70.95323611,1,87
25,199,14,42.30301111,-71.64020556,1,72
25,200,17,42.06713611,-71.05153611,1,20
25,201,99,42.55452778,-70.88163611,1,58
25,202,7,42.20563333,-71.066825,1,26
25,203,16,41.90290556,-70.96015278,1,43
25,203,16,41.90290556,-70.96015278,1,56
25,204,23,42.281975,-71.0589,1,44
25,204,23,42.281975,-71.0589,1,58
25,204,23,42.281975,-71.0589,1,65
25,205,20,42.23466667,-71.74969167,1,56
25,206,16,41.86660556,-70.87358056,1,28
25,206,16,41.86660556,-70.87358056,1,39
25,206,16,41.86660556,-70.87358056,1,40
25,207,19,42.18946111,-71.20685278,1,22
25,207,19,42.18946111,-71.20685278,1,32
25,207,19,42.18946111,-71.20685278,1,33
25,207,19,42.18946111,-71.20685278,1,36
25,208,6,41.71523333,-70.78590833,1,21
25,208,6,41.71523333,-70.78590833,1,23
25,208,6,41.71523333,-70.78590833,1,27
25,208,6,41.71523333,-70.78590833,1,33
25,208,6,41.71523333,-70.78590833,1,54
25,208,6,41.71523333,-70.78590833,1,999
25,209,18,42.45832222,-70.948925,1,35
25,210,18,42.10794444,-72.70462222,1,18
25,210,18,42.10794444,-72.70462222,1,54
25,211,17,41.84619167,-70.84962222,1,76
25,212,6,41.89056389,-70.9405,1,61
25,213,17,42.26613056,-71.83744167,1,31
25,213,17,42.26613056,-71.83744167,1,46
25,214,17,42.16993333,-71.47464722,1,53
25,215,15,41.90636389,-71.04248056,1,31
25,215,15,41.90636389,-71.04248056,1,59
25,215,15,41.90636389,-71.04248056,1,73
25,216,17,42.273925,-71.76120833,1,63
25,217,15,42.32743056,-71.07781944,1,51
25,217,15,42.32743056,-71.07781944,1,60
25,217,15,42.32743056,-71.07781944,1,67
25,218,12,42.04156944,-71.30470833,1,46
25,218,12,42.04156944,-71.30470833,1,91
25,219,11,42.41852778,-71.10789167,1,77
25,220,22,42.52536389,-70.893025,1,25
25,221,2,42.10181389,-72.59341667,1,52
25,221,2,42.10181389,-72.59341667,1,55
25,222,3,42.08338611,-71.22209167,1,55
25,223,22,42.03163333,-71.24953611,1,54
25,224,22,42.43117778,-71.03029167,1,63
25,224,22,42.43117778,-71.03029167,1,69
25,224,22,42.43117778,-71.03029167,1,72
25,225,0,42.19684167,-73.35656944,1,20
25,225,0,42.19684167,-73.35656944,1,21
